Interface_Temp,Fan_FanTray1Fan1Sensor1,Fan_FanTray2Fan1Sensor1,Fan_FanTray3Fan1Sensor1,Fan_FanTray4Fan1Sensor1,rack_unit,Device_local_sn,SFP_manufacturer,SFP_model,fan_speed_mean
63.8,13452,13824,13953,13392,4,JPA22473707,Intel Corp,SPTSHP2PMCDF,13655.25
63.8,13274,13274,13274,13274,1,JPE21381313,Finisar,FCBN425QF1C02-OR,13274.0
63.8,14150,14423,14778,14634,32,JPE21071497,Intel Corp,SPTSHP2PMCDF,14496.25
63.8,14150,14423,14778,14634,32,JPE21071497,Intel Corp,SPTSHP2PMCDF,14496.25
63.8,15463,15384,15873,15789,3,JPA22231749,Intel Corp,SPTSHP2PMCDF,15627.25
63.8,15151,15000,15075,15151,37,JPA22362529,Intel Corp,SPTSHP2PMCDF,15094.25
63.8,12987,13043,13043,13043,6,JPE21311968,Accelight,AQP100C-C-LRL,13029.0
63.8,17045,17142,16949,17751,32,JPE21033047,Intel Corp,SPTSHP2PMCDF,17221.75
63.8,12048,12096,12048,12048,2,SGD21302097,Finisar,FCBN425QF1C10-OR,12060.0
63.8,15306,15463,15151,15306,5,JPA22231668,Intel Corp,SPTSHP2PMCDF,15306.5
63.7,12396,12345,12396,12396,23,JPE21410575,Finisar,FCBN425QF1C02-OR,12383.25
63.7,15789,15306,15957,15306,24,JPA22231433,Intel Corp,SPTSHP2PMCDF,15589.5
63.7,16483,16216,16574,16666,4,JPA22231710,Intel Corp,SPTSHP2PMCDF,16484.75
63.7,15384,15306,15384,15625,3,JPE21051932,Intel Corp,SPTSHP2PMCDF,15424.75
63.7,13452,13513,13513,13513,2,SGD21492530,AOI,AQPLBCQ4EDMA1072,13497.75
63.7,14851,14563,15544,15306,3,JPA22364117,Intel Corp,SPTSHP2PMCDF,15066.0
63.7,14851,14563,15544,15306,3,JPA22364117,Intel Corp,SPTSHP2PMCDF,15066.0
63.7,12605,12658,12658,12711,6,SGD22075486,Finisar,FCBN425QF1C02-OR,12658.0
63.7,12605,12658,12658,12500,40,JPE21032979,Intel Corp,SPTSHP2PMCDF,12605.25
63.7,17751,17647,17543,17341,4,JPE21045675,Intel Corp,SPTSHP2PMCDF,17570.5
63.7,14218,14218,14285,14285,2,SGD22074517,Finisar,FCBN425QF1C02-OR,14251.5
63.7,12448,12448,12500,12552,5,SGD21301599,Finisar,FCBN425QF1C10-OR,12487.0
63.7,14018,13953,14018,13953,30,JPE21322556,Finisar,FCBN425QF1C10-OR,13985.5
63.7,15789,15789,15873,15625,12,JPE22230177,Intel Corp,SPTSHP2PMCDF,15769.0
63.7,14851,14705,14925,14851,9,JPA22473718,Intel Corp,SPTSHP2PMCDF,14833.0
63.7,12931,12875,12987,12931,3,SGD21301988,Accelight,AQP100C-C-LRL,12931.0
63.7,12195,12345,12345,12295,23,JPE21392440,Finisar,FCBN425QF1C02-OR,12295.0
63.7,12145,12096,12096,12145,24,JPE21392305,Finisar,FCBN425QF1C02-OR,12120.5
63.7,15789,16042,16393,16129,6,JPA22231460,Intel Corp,SPTSHP2PMCDF,16088.25
63.7,15463,15384,15873,15789,3,JPA22231749,Intel Corp,SPTSHP2PMCDF,15627.25
63.7,15463,15384,15873,15789,3,JPA22231749,Intel Corp,SPTSHP2PMCDF,15627.25
63.7,12396,12396,12396,12396,2,JPE20481790,Finisar,FCBN425QF1C10-OR,12396.0
63.7,12295,12295,12345,12345,1,SGD21068068,Finisar,FCBN425QF1C10-OR,12320.0
63.7,14150,14150,14084,14084,18,JPE22230130,Intel Corp,SPTSHP2PMCDF,14117.0
63.7,14634,14705,15151,14851,9,JPE22230474,Intel Corp,SPTSHP2PMCDF,14835.25
63.7,12295,12295,12345,12345,1,SGD21068068,AOI,AQPLBCQ4EDMA1072,12320.0
63.7,14851,15151,14778,15789,38,JPA22473511,Intel Corp,SPTSHP2PMCDF,15142.25
63.7,15544,15463,15384,15706,12,JPA22231685,Intel Corp,SPTSHP2PMCDF,15524.25
63.7,15625,15873,15228,15384,3,JPA22242174,Intel Corp,SPTSHP2PMCDF,15527.5
63.7,17500,17500,17500,17500,1,SGD22074868,Finisar,FCBN425QF1C02-OR,17500.0
63.7,14354,14354,14492,14423,34,JPE21071543,Intel Corp,SPTSHP2PMCDF,14405.75
63.7,15706,15463,14925,15706,18,JPA22231435,Intel Corp,SPTSHP2PMCDF,15450.0
63.7,15306,15306,15306,15151,21,JPE22230192,Intel Corp,SPTSHP2PMCDF,15267.25
63.7,14705,14705,14705,14705,1,JPE21312037,AOI,AQPLBCQ4EDMA1072,14705.0
63.7,13452,13824,13953,13392,4,JPA22473707,Intel Corp,SPTSHP2PMCDF,13655.25
63.7,13452,13824,13953,13392,4,JPA22473707,Intel Corp,SPTSHP2PMCDF,13655.25
63.7,13452,13824,13953,13392,4,JPA22473707,Intel Corp,SPTSHP2PMCDF,13655.25
63.7,12345,12396,12295,12345,4,SGD22057297,AOI,AQPLBCQ4EDMA1072,12345.25
63.7,17142,16574,17142,16853,4,JPA22231705,Intel Corp,SPTSHP2PMCDF,16927.75
63.7,14705,14705,14705,14705,1,JPE21312037,AOI,AQPLBCQ4EDMA1072,14705.0
63.7,13100,13157,13043,13100,1,JPE21301901,Finisar,FCBN425QF1C10-OR,13100.0
63.6,15706,15228,15789,15306,15,JPA22231686,Intel Corp,SPTSHP2PMCDF,15507.25
63.6,12875,12931,12931,12931,3,SGD21301637,AOI,AQPLBCQ4EDMA1072,12917.0
63.6,15873,14563,15706,14634,15,JPE22230502,Intel Corp,SPTSHP2PMCDF,15194.0
63.6,12987,12875,12931,12875,1,JPE21312141,Accelight,AQP100C-C-LRL,12917.0
63.6,15384,15306,15384,15151,31,JPA22242180,Intel Corp,SPTSHP2PMCDF,15306.25
63.6,15873,14563,15706,14634,15,JPE22230502,Intel Corp,SPTSHP2PMCDF,15194.0
63.6,13043,13274,13157,13100,1,JPE21314506,Accelight,AQP100C-C-LRL,13143.5
63.6,13452,13513,13513,13513,2,SGD21492530,Finisar,FCBN425QF1C02-OR,13497.75
63.6,16304,16216,16042,16042,3,JPE20255064,Intel Corp,SPTSHP2PMCDF,16151.0
63.6,13888,14084,13888,13953,24,JPA22242052,Intel Corp,SPTSHP2PMCDF,13953.25
63.6,15306,15306,15306,15151,21,JPE22230192,Intel Corp,SPTSHP2PMCDF,15267.25
63.6,15306,15306,15306,15151,21,JPE22230192,Intel Corp,SPTSHP2PMCDF,15267.25
63.6,15306,15306,15306,15151,21,JPE22230192,Intel Corp,SPTSHP2PMCDF,15267.25
63.6,12345,12396,12295,12345,4,SGD22057297,AOI,AQPLBCQ4EDMA1072,12345.25
63.6,14634,14925,14563,14705,10,FGN2322031P,Intel Corp,SPTSHP2PMCDF,14706.75
63.6,15706,15625,15873,15306,9,JPE22201700,Intel Corp,SPTSHP2PMCDF,15627.5
63.6,12500,12875,12658,12765,33,JPE21032859,Intel Corp,SPTSHP2PMCDF,12699.5
63.6,16042,15957,16216,16042,37,JPE21032860,Intel Corp,SPTSHP2PMCDF,16064.25
63.6,14563,14354,14285,14354,5,JPA22364100,Intel Corp,SPTSHP2PMCDF,14389.0
63.6,14563,14354,14285,14354,5,JPA22364100,Intel Corp,SPTSHP2PMCDF,14389.0
63.6,15625,14492,15384,15706,6,JPA22241934,Intel Corp,SPTSHP2PMCDF,15301.75
