Interface_Temp,Fan_FanTray1Fan1Sensor1,Fan_FanTray2Fan1Sensor1,Fan_FanTray3Fan1Sensor1,Fan_FanTray4Fan1Sensor1,rack_unit,Device_local_sn,SFP_manufacturer,SFP_model
64.1,9202,9202,9174,9174,29,SGD22056849,FINISAR CORP,FCBN425QF1C02-OR
64.1,7792,7751,7731,7712,29,SGD20296594,FINISAR CORP,FCBN425QF1C10-OR
64.1,9345,9316,9345,9375,26,JPE22202381,FINISAR CORP,FCBN425QF1C10-OR
64.1,10563,10563,10600,10638,23,JPE21320936,FINISAR CORP,FCBN425QF1C20-OR
64.1,8620,8670,8670,8670,4,JPE21392383,FINISAR CORP,FCBN425QF1C10-OR
64.1,8720,8746,8771,8720,26,JPE20454816,FINISAR CORP,FCBN425QF1C10-OR
64.1,8498,8522,8498,8474,24,SGD21067645,FINISAR CORP,FCBN425QF1C10-OR
64.1,6711,6756,6741,6772,3,SGD21214368,AOI,AQPLBCQ4EDMA1072
64.1,6976,6960,6976,6944,25,JPE22192823,O-NET,1AT-3Q4M10XX-14A
64.1,10676,10676,10676,10638,5,JPE21403978,FINISAR CORP,FCBN425QF1C02-OR
64.1,8426,8426,8450,8450,28,SGD21492197,FINISAR CORP,FCBN425QF1C02-OR
64.1,14851,15151,14778,15789,38,JPA22473511,Intel Corp,SPTSHP2PMCDF
64.1,8426,8426,8379,8403,11,SGD22023696,FINISAR CORP,FCBN425QF1C02-OR
64.1,10526,10526,10563,10526,26,SGD22056767,FINISAR CORP,FCBN425QF1C02-OR
64.1,11152,11194,11194,11152,5,SGD22075317,FINISAR CORP,FCBN425QF1C02-OR
64.1,6726,6666,6696,6711,12,SGD21214181,FINISAR CORP,FCBN425QF1C02-OR
64.1,6787,6818,6787,6818,7,SGD22023299,FINISAR CORP,FCBN425QF1C02-OR
64.1,8042,8108,8086,8108,6,SGD21302325,FINISAR CORP,FCBN425QF1C10-OR
64.1,10791,10791,10791,10791,8,SGD22074205,AOI,AQPLBCQ4EDMA1072
64.1,6410,6342,6369,6410,7,SGD20453113,Eoptolink,EOLQ-131HG-O-5H5
64.1,6521,6550,6465,6535,6,JPE20511610,FINISAR CORP,FCBN425QF1C10-OR
64.1,10309,10380,10344,10344,4,SGD22074545,AOI,AQPLBCQ4EDMA1072
64.1,6944,6993,7009,7009,6,JPE21270955,FINISAR CORP,FCBN425QF1C02-OR
64.1,10000,9966,9966,10000,6,SGD22074498,FINISAR CORP,FCBN425QF1C02-OR
64.1,7692,7731,7672,7692,28,SGD22074526,FINISAR CORP,FCBN425QF1C07-OR
64.1,10067,10101,10067,10101,30,JPE21490572,FINISAR CORP,FCBN425QF1C02-OR
64.1,8522,8595,8547,8547,4,SGD22057002,AOI,AQPLBCQ4EDMA1072
64.1,8720,8746,8771,8746,11,SGD22074865,FINISAR CORP,FCBN425QF1C02-OR
64.1,9316,9345,9404,9345,5,JPE21320950,Accelight,AQP100C-C-LRL
64.1,6000,6048,6000,6072,2,SGD20436301,Eoptolink,EOLQ-131HG-O-5H5
64.1,8130,8064,8108,8108,23,JPE22190614,O-NET,1AT-3Q4M02XX-14A
64.1,10526,10489,10452,10563,29,SGD21184174,FINISAR CORP,FCBN425QF1C02-OR
64.1,8720,8746,8771,8746,11,SGD22074865,FINISAR CORP,FCBN425QF1C02-OR
64.1,16042,15957,16216,16042,37,JPE21032860,Intel Corp,SPTSHP2PMCDF
64.1,11406,11450,11406,11406,27,SGD21302022,FINISAR CORP,FCBN425QF1C10-OR
64.1,8379,8356,8379,8379,3,SGD20445566,FINISAR CORP,FCBN425QF1C02-OR
64.1,6147,6048,6109,6122,25,JPE22182580,FINISAR CORP,FCBN425QF1C15-OR
64.1,14563,14354,14285,14354,5,JPA22364100,Intel Corp,SPTSHP2PMCDF
64.1,6382,6382,6396,6369,27,JPE22202060,FINISAR CORP,FCBN425QF1C15-OR
64.1,8695,8720,8720,8720,30,SGD20375790,FINISAR CORP,FCBN425QF1C15-OR
64.1,14563,14354,14285,14354,5,JPA22364100,Intel Corp,SPTSHP2PMCDF
64.1,9523,9523,9554,9554,28,JPE21322694,FINISAR CORP,FCBN425QF1C20-OR
64.1,11764,11811,11811,11811,7,SGD21301606,AOI,AQPLBCQ4EDMA1072
64.1,10101,10101,10135,10101,28,JPE21322574,FINISAR CORP,FCBN425QF1C10-OR
64.1,6756,6756,6756,6696,26,JPE20474888,O-NET,1AT-3Q4M15XX-14A
64.1,8356,8403,8426,8379,7,JPE20453015,FINISAR CORP,FCBN425QF1C02-OR
64.1,7075,7075,7058,7058,30,SGD20475064,FINISAR CORP,FCBN425QF1C15-OR
64.1,3942,3926,3952,4000,34,JPE21465458,FINISAR CORP,FCBN425QF1C07-OR
64.1,6833,6833,6818,6833,5,SGD21520972,AOI,AQPLBCQ4EDMA1072
64.1,10830,10791,10791,10830,23,JPE21402433,FINISAR CORP,FCBN425QF1C02-OR
64.1,8108,8108,8000,7978,8,JPE22095827,FINISAR CORP,FCBN425QF1C02-OR
64.1,7772,7832,7772,7812,27,JPE20292872,FINISAR CORP,FCBN425QF1C15-OR
64.1,11070,11111,11029,11029,25,JPE21404487,FINISAR CORP,FCBN425QF1C02-OR
64.1,7334,7281,7299,7263,26,JPE22183124,FINISAR CORP,FCBN425QF1C20-OR
64.1,6329,6302,6302,6263,29,JPE22063095,O-NET,1AT-3Q4M15XX-14A
64.1,9174,9146,9146,9146,26,JPE21320990,FINISAR CORP,FCBN425QF1C10-OR
64.1,13333,13953,13761,13574,11,JPA22473538,Intel Corp,SPTSHP2PMCDF
64.1,8720,8746,8771,8797,3,SGD21016647,AOI,AQPLBCQ4EDMA1072
64.1,10309,10273,10273,10238,27,JPE21051553,FINISAR CORP,FCBN425QF1C10-OR
64.1,5988,5917,5928,5940,4,JPW20321773,Eoptolink,EOLQ-131HG-O-5H5
64.1,8720,8746,8771,8797,3,SGD21016647,FINISAR CORP,FCBN425QF1C02-OR
64.1,9146,9174,9174,9202,5,SGD21039896,FINISAR CORP,FCBN425QF1C02-OR
64.1,6864,6928,6849,6880,41,SGD20376636,FINISAR CORP,FCBN425QF1C15-OR
64.1,7936,7894,7936,7853,13,JPE22032286,FINISAR CORP,FCBN425QF1C20-OR
64.1,7334,7317,7281,7334,13,SGD21084779,FINISAR CORP,FCBN425QF1C15-OR
64.1,10909,10909,10909,10909,1,SGD21242075,Accelight,AQP100C-C-LRL
64.1,10000,10000,10000,10000,30,JPE22200603,FINISAR CORP,FCBN425QF1C07-OR
64.1,8720,8771,8720,8720,5,JPE21380104,AOI,AQPLBCQ4EDMA1072
64.1,7500,7500,7537,7518,8,SGD22056746,AOI,AQPLBCQ4EDMA1072
64.1,7731,7772,7792,7772,27,SGD20444862,FINISAR CORP,FCBN425QF1C15-OR
64.1,7042,7025,7042,7042,27,JPE20443579,FINISAR CORP,FCBN425QF1C15-OR
64.1,8000,7936,8000,8021,7,SGD20475093,FINISAR CORP,FCBN425QF1C10-OR
64.1,7407,7425,7462,7444,28,JPE21320991,FINISAR CORP,FCBN425QF1C07-OR
64.1,8902,8875,8849,8928,6,SGD22075488,FINISAR CORP,FCBN425QF1C02-OR
64.1,7177,7159,7194,7194,15,JPE20482285,FINISAR CORP,FCBN425QF1C10-OR
64.1,11363,11363,11406,11363,24,JPE21403970,FINISAR CORP,FCBN425QF1C10-OR
64.1,6535,6550,6550,6637,7,SGD20265863,Eoptolink,EOLQ-131HG-O-5H5
64.1,7751,7812,7772,7772,26,SGD21242395,FINISAR CORP,FCBN425QF1C15-OR
64.1,8928,8955,8928,8955,25,JPE21380170,FINISAR CORP,FCBN425QF1C10-OR
64.1,8241,8264,8310,8287,7,JPE21320878,FINISAR CORP,FCBN425QF1C10-OR
64.1,13333,13392,13333,12987,40,JPE21045768,Intel Corp,SPTSHP2PMCDF
64.1,6637,6666,6593,6651,26,SGD22056756,O-NET,1AT-3Q4M15XX-14A
64.1,10033,10067,10033,10000,1,JPE22190615,Accelight,AQP100C-C-LRL
64.1,6315,6302,6276,6342,41,JPE21111727,FINISAR CORP,FCBN425QF1C15-OR
64.1,8928,8797,8982,8823,1,SGD21067747,FINISAR CORP,FCBN425QF1C10-OR
64.1,5952,6000,5928,5952,27,SGD21085598,FINISAR CORP,FCBN425QF1C10-OR
64.1,8571,8571,8571,8522,28,SGD20421900,FINISAR CORP,FCBN425QF1C10-OR
64.1,8064,8108,8108,8108,26,SGD20421798,FINISAR CORP,FCBN425QF1C10-OR
64.1,8547,8571,8620,8595,25,SGD20445009,FINISAR CORP,FCBN425QF1C15-OR
64.1,7772,7751,7772,7751,29,SGD22023447,FINISAR CORP,FCBN425QF1C15-OR
64.1,11494,11450,11450,11450,28,SGD21301804,FINISAR CORP,FCBN425QF1C10-OR
64.1,12145,12096,12096,12145,24,JPE21392305,FINISAR CORP,FCBN425QF1C02-OR
64.1,8982,9009,8902,8928,6,SGD21470886,Accelight,AQP100C-C-LRL
64.1,8982,8982,9009,9009,3,SGD20452771,FINISAR CORP,FCBN425QF1C10-OR
64.1,9036,9118,9146,9202,29,SGD21132554,FINISAR CORP,FCBN425QF1C10-OR
64.1,6147,6072,6109,6172,30,SGD22057343,O-NET,1AT-3Q4M10XX-14A
64.1,8797,8746,8797,8823,27,SGD20421730,FINISAR CORP,FCBN425QF1C10-OR
64.1,7751,7751,7772,7712,5,SGD22057342,AOI,AQPLBCQ4EDMA1072
64.1,8241,8264,8264,8264,7,JPE21381318,AOI,AQPLBCQ4EDMA1072
64.1,7518,7537,7500,7481,24,JPE22202054,AOI,AQPA9N10ADLN0957
64.1,9868,9868,9868,9868,3,SGD21520758,FINISAR CORP,FCBN425QF1C02-OR
64.1,9868,9868,9868,9868,3,SGD21520758,FINISAR CORP,FCBN425QF1C02-OR
64.1,7614,7614,7575,7614,26,SGD21067812,FINISAR CORP,FCBN425QF1C20-OR
64.1,8955,8955,8902,8902,8,SGD22074250,FINISAR CORP,FCBN425QF1C02-OR
64.1,9287,9287,9230,9287,15,SGD22074946,FINISAR CORP,FCBN425QF1C02-OR
64.1,8152,8174,8196,8241,29,SGD20475092,FINISAR CORP,FCBN425QF1C15-OR
64.1,9174,9146,9230,9230,1,JPE20451987,AOI,AQPLBCQ4EDMA1072
64.1,8064,8064,8042,8042,24,SGD20404577,FINISAR CORP,FCBN425QF1C15-OR
64.1,9615,9646,9646,9615,2,JPE21392280,FINISAR CORP,FCBN425QF1C02-OR
64.1,7633,7653,7614,7633,17,SGD22057364,FINISAR CORP,FCBN425QF1C02-OR
64.1,10752,10752,10714,10714,2,JPE20285191,FINISAR CORP,FCBN425QF1C10-OR
64.1,8021,8021,8000,8000,26,JPE21311992,FINISAR CORP,FCBN425QF1C10-OR
64.1,8771,8797,8771,8771,24,JPE21404156,FINISAR CORP,FCBN425QF1C10-OR
64.1,8928,8955,8955,8982,26,SGD22057403,FINISAR CORP,FCBN425QF1C02-OR
64.1,7075,7042,7125,7025,17,SGD21214138,FINISAR CORP,FCBN425QF1C15-OR
64.1,8310,8310,8310,8333,3,SGD21068117,AOI,AQPLBCQ4EDMA1072
64.1,7317,7317,7299,7246,29,JPE21322696,FINISAR CORP,FCBN425QF1C10-OR
64.1,9259,9287,9230,9230,28,JPE22192048,FINISAR CORP,FCBN425QF1C07-OR
